duration,title,channel,published,time
55:53,Now playing,"Amil Dravid - Hidden Structure in Deep Networks Universal Representations, Emergent Geometries, an",Cohere,55.88
52:40,Now playing,Weizhi Zhang - Towards More Efficient and Scalable Graph Recommendation,Cohere,52.67
1:08:37,Now playing,Fenic: PySpark-Inspired AI DataFrames,AI Makerspace,68.62
9:23,Now playing,Why Python Developers Are Switching to UV,Dave Ebbelaar,9.38
25:47,Now playing,AI Agents Memory Design & Optimization Techniques,AI Anytime,25.78
26:50,Now playing,The Dawn of Self-Modifying Cognitive Architectures,Discover AI,26.83
15:11,Now playing,Get ChatGPT-5 Ready with These Prompting Principles,AI News & Strategy Daily | Nate B Jones,15.18
57:47,Now playing,911: The Future of Python Notebooks is Here — with Marimo’s Dr. Akshay Agrawal,Super Data Science: ML & AI Podcast with Jon Krohn,57.78
48:00,Now playing,The Hidden Bottlenecks Slowing Down AI Agents,MLOps.community,48.0
19:14,Now playing,"2025 is the Year of Evals! Just like 2024, and 2023, and … — John Dickerson, CEO Mozilla AI",AI Engineer,19.23
15:22,Now playing,"Evals Are Not Unit Tests — Ido Pesok, Vercel v0",AI Engineer,15.37
10:50,Now playing,Hunyuan-0.5B-Instruct: Free Model for CPU with Great Quality - Install Locally,Fahd Mirza,10.83
53:08,Now playing,"GPT OSS Release, Inference and Fine tuning",Trelis Research,53.13
24:35,Now playing,Multi-modal RAG with Docling: From PDF to Agentic AI Chatbot,Case Done by AI,24.58
19:12,Now playing,"On Engineering AI Systems that Endure The Bitter Lesson - Omar Khattab, DSPy & Databricks",AI Engineer,19.2
15:10,Now playing,OpenAI Finally Goes Open-Source: 120B & 20B Models,Prompt Engineering,15.17
21:24,Now playing,ChatGPT 5 Won't Save You: 10 Reasons Why Your AI Strategy is Failing,AI News & Strategy Daily | Nate B Jones,21.4
19:03,Now playing,#266 Enabling LLMs to know when to abstain,Data Science Gems,19.05
28:07,Now playing,"⚡️Mercury: Ultra-Fast Diffusion LLMs — Estefano Ermon, CEO Inception Labs",Latent Space,28.12
37:38,Now playing,Visualizing convolution networks,CodeEmporium,37.63
21:04,Now playing,Meta CLIP 2: A Worldwide Scaling Recipe,Arxiv Papers,21.07
28:27,Now playing,Jan Pipek - Data wrangling in a modern terminal (PyData Prague #28),PyData,28.45
1:09:41,Now playing,"Full Workshop: Realtime Voice AI — Mark Backman, Daily",AI Engineer,69.68
1:33:56,Now playing,Scikit-Learn Full Crash Course - Python Machine Learning,NeuralNine,93.93
23:18,Now playing,I built an Agentic AI Governance Platform,AI Anytime,23.3
0:0,"Useful General Intelligence — Danielle Perszyk, Amazon AGI",AI Engineer,6 days ago,0.0
0:0,"NEW Agentic Web: NO Apps, NO Ad Revenues",Discover AI,5 days ago,0.0
0:0,Greedy? Min-p? Beam Search? How LLMs Actually Pick Words – Decoding Strategies Explained,AI Coffee Break with Letitia,5 days ago,0.0
0:0,"Building Agents at Cloud Scale — Antje Barth, AWS",AI Engineer,6 days ago,0.0
0:0,"Practical tactics to build reliable AI apps — Dmitry Kuchin, Multinear",AI Engineer,6 days ago,0.0
0:0,AI coding agents are useless on large codebases. Unless you do THIS.,Jo Van Eyck,6 days ago,0.0
0:0,"The RLVR Revolution — with Nathan Lambert (AI2, Interconnects.ai)",Latent Space,8 days ago,0.0
0:0,OpenRouter HORIZON BETA: WOW! (GPT-5?),Discover AI,6 days ago,0.0
0:0,"The Revolution in Services: General Catalyst's AI Rollup Strategy, with Marc Bhargava","Cognitive Revolution ""How AI Changes Everything""",6 days ago,0.0
0:0,How to Use FastAPI: A Detailed Python Tutorial,ArjanCodes,2 years ago,0.0
0:0,The Chaos of AI Agents,Emergent Garden,13 days ago,0.0
0:0,Python AsyncIO Explained in 9 Minutes,NeuralNine,7 days ago,0.0
0:0,FastAPI Python Tutorial: Build an Analytics API from Scratch,CodingEntrepreneurs,4 months ago,0.0
0:0,99% of Developers Don't Get Git Rebase,The Coding Gopher,8 days ago,0.0
0:0,Gen AI Threat Modeling vs. AI-Powered Defense: A Debate with Canva & Anthropic,AI Security Podcast,7 days ago,0.0
0:0,"LLM Fine-Tuning 11: LLM Knowledge Distillation | How to Distill LLMs (LLAMA, Phi & Beyond) Part 2",Sunny Savita,7 days ago,0.0
0:0,Google Mixture of Recursions vs Mixture of Experts,Data Science in your pocket,7 days ago,0.0
0:0,"The 2025 AI Engineering Report — Barr Yaron, Amplify",AI Engineer,7 days ago,0.0
0:0,Intelligent Humans vs. Smart AI: The Ultimate Showdown,Machine Learning Street Talk,13 days ago,0.0
0:0,Why Are Not More People Using These Python Libraries?,ArjanCodes,7 days ago,0.0
0:0,Microservices with FastAPI – Full Course,freeCodeCamp.org,3 years ago,0.0
3:49:36,Now playing,API integration Course – Modern Python with FastAPI,freeCodeCamp.org,229.6
12:52:55,Now playing,FastAPI Beyond CRUD Full Course - A FastAPI Course,Ssali Jonathan,772.92
19:00:27,Now playing,Python API Development - Comprehensive Course for Beginners,freeCodeCamp.org,1140.45
28:08,Now playing,You're Probably Building FASTAPI Apps WRONG (Clean Architecture),Eric Roby,28.13
1:01:42,Now playing,"[Full Workshop] Building Conversational AI Agents - Thor Schaeff, ElevenLabs",AI Engineer,61.7
9:27,Now playing,What are Deep Agents?,LangChain,9.45
15:37,Now playing,"Agents vs Workflows: Why Not Both? — Sam Bhagwat, Mastra.ai",AI Engineer,15.62
32:50,Now playing,How I Use AI Agents To Review Investments - Leyla Kunimoto,SVIC Podcast,32.83
20:25,Now playing,"Hacking the Inference Pareto Frontier - Kyle Kranen, NVIDIA",AI Engineer,20.42
0:0,"How RAG Finds Answers in Millions of Documents | Embeddings, Vector Databases, LangChain & Supabase",Venelin Valkov,7 days ago,0.0
0:0,AI's 4 Power Shifts: Where the Best Tech Jobs Will Emerge in 2026,AI News & Strategy Daily | Nate B Jones,7 days ago,0.0
0:0,AI Observability with OpenAI Agents SDK,James Briggs,8 days ago,0.0
0:0,256K Context Window? Forget It!,Discover AI,8 days ago,0.0
0:0,Chunking 101: The Invisible Bottleneck Killing Enterprise AI Projects,AI News & Strategy Daily | Nate B Jones,8 days ago,0.0
0:0,"Director Reacts To Anthropic CEO Dario Amodei: AI's Potential, OpenAI Rivalry on Alex Kantrowitz",SVIC Podcast,9 days ago,0.0
0:0,This Research Tested Having AI Teaching Itself Infinitely…,bycloud,8 days ago,0.0
0:0,"Building Alice’s Brain: an AI Sales Rep that Learns Like a Human - Sherwood & Satwik, 11x",AI Engineer,10 days ago,0.0
0:0,Eigent: Multi-Agent Workforce that is for Everyone - Install and Test on Windows,Fahd Mirza,10 days ago,0.0
0:0,"Scaling Enterprise-Grade RAG: Lessons from Legal Frontier - Calvin Qi (Harvey), Chang She (Lance)",AI Engineer,10 days ago,0.0
0:0,Evaluating AI Search: A Practical Framework for Augmented AI Systems — Quotient AI + Tavily,AI Engineer,10 days ago,0.0
0:0,Using RFT to Build Clinical Superintelligence,Latent Space,10 days ago,0.0
0:0,AWS re:Post Live | Advanced Strategies for Amazon Bedrock,AWS Events,Streamed 10 days ago,0.0
0:0,How to build a simple voice assistant,Underfitted,9 days ago,0.0
0:0,Context Engineering for Agents : Improve tool calling performance with LangGraphBigTools,Aritra Sen,9 days ago,0.0
0:0,New course: Pydantic for LLM Workflows,DeepLearningAI,9 days ago,0.0
0:0,"How to Secure Agents using OAuth — Jared Hanson (Keycard, Passport.js)",AI Engineer,9 days ago,0.0
0:0,Google Just Released Gemini 2.5 Conversational Image Segmentation — Auto‑Land Drones  Demo,MG,10 days ago,0.0
0:0,"Arsine Sarikyan, Levon Chukhajyan - NLP for Product Categorization from Unstructured Data",PyData,2 weeks ago,0.0
0:0,"Building the platform for agent coordination — Tom Moor, Linear",AI Engineer,11 days ago,0.0
0:0,"Everything is ugly, so go build something that isn't — Raiza Martin, Huxe (ex NotebookLM)",AI Engineer,11 days ago,0.0
0:0,"Why your product needs an AI product manager, and why it should be you — James Lowe, i.AI",AI Engineer,11 days ago,0.0
16:17,Now playing,"Shipping something to someone always wins — Kenneth Auchenberg (ex. Stripe, VSCode)",AI Engineer,16.28
19:34,Now playing,"Shipping Products When You Don't Know What they Can Do — Ben Stein, Teammates",AI Engineer,19.57
UPCOMING,Now playing,"#define AI Engineer - Greg Brockman, OpenAI (ft. Jensen Huang, NVIDIA)",AI Engineer,UPCOMING
40:28,Now playing,"[Full Workshop] Building Metrics that actually work — David Karam, Pi Labs (fmr Google Search)",AI Engineer,40.47
14:00,Now playing,"OpenAI on Securing Code-Executing AI Agents — Fouad Matin (Codex, Agent Robustness)",AI Engineer,14.0
17:33,Now playing,"How we hacked YC Spring 2025 batch’s AI agents — Rene Brandel, Casco",AI Engineer,17.55
20:12,Now playing,"How to defend your sites from AI bots — David Mytton, Arcjet",AI Engineer,20.2
11:49,Now playing,GEPA REFLECTIVE PROMPT EVOLUTION CAN OUTPERFORM REINFORCEMENT LEARNING,Richard Aragon,11.82
25:13,Now playing,It's happening! This AI discovers better AI,AI Search,25.22
0:0,The MCP Revolution: AWS Team's Journey from Internal Tools to Open Source AI Infrastructure,AWS Events,Streamed 11 days ago,0.0
1:18:01,Now playing,909: Causal AI — with Dr. Robert Usazuwa Ness,Super Data Science: ML & AI Podcast with Jon Krohn,78.02
18:42,Now playing,"Building a Smarter AI Agent with Neural RAG - Will Bryk, Exa.ai",AI Engineer,18.7
1:01:11,Now playing,The Tale of AI Ops | AWS Tech Tales | S4 E23,AWS Events,61.18
6:22,Now playing,What is GSPO ? RL algorithm to train Qwen3,Data Science in your pocket,6.37
1:06:56,Now playing,"Maxime Labonne on Model Merging, AI Trends, and Beyond",How AI Is Built,66.93
1:06:56,Now playing,"Maxime Labonne on Model Merging, AI Trends, and Beyond",How AI Is Built,66.93
20:22,Now playing,"Layering every technique in RAG, one query at a time - David Karam, Pi Labs (fmr. Google Search)",AI Engineer,20.37
26:19,Now playing,True AI Reasoning: Graph-Based CPT,Discover AI,26.32
8:00,Now playing,MCP in Action: Revolutionizing AI Agent Integration,IBM Technology,8.0
11:29,Now playing,"GLM-4.5: New SOTA Opensource KING! Powerful, Fast, & Cheap! (Fully Tested)",WorldofAI,11.48
23:41,Now playing,A Survey of Context Engineering for Large Language Models,Xiaol.x,23.68
19:18,Now playing,"Make your LLM app a Domain Expert: How to Build an Expert System — Christopher Lovejoy, Anterior",AI Engineer,19.3
10:04,Now playing,Master Claude Code Sub‑Agents in 10 Minutes,Prompt Engineering,10.07
34:17,Now playing,"The AI Engineer’s Guide to Raising VC — Dani Grant (Jam), Chelcie Taylor (Notable)",AI Engineer,34.28
14:31,Now playing,Why convolution networks work so well (on images),CodeEmporium,14.52
15:01,Now playing,"Scaling AI Agents Without Breaking Reliability — Preeti Somal, Temporal",AI Engineer,15.02
1:03:40,Now playing,LLM Fine-Tuning 10: LLM Knowledge Distillation | How to Distill LLMs (DistilBERT & Beyond) Part 1,Sunny Savita,63.67
17:47,Now playing,What Is a Humanoid Foundation Model? An Introduction to GR00T N1 - Annika & Aastha,AI Engineer,17.78
