,title,link,channel,views,length
0,Ep 41. Your RAG Demo Is a Waste of Time ,https://youtu.be/lY2EwRLbk_k,Prolego,114 ,2:13
1,NEW AI Forecasting (UC Berkeley) ,https://youtu.be/IOJT0Sq8jUE,Discover AI,1000,2:13
2,Fine-Tuning Open-Source Models made easy with KAITO ,https://youtu.be/pmfBSg7L6lE,Microsoft Reactor,80 ,19:35
3,The Future of Multimodal Models in Technology // Markus Stoll // MLOps Podcast #258 clip ,https://youtu.be/yWT38PKejFU,MLOps.community,34 ,19:35
4,I Built an AI Agent That Does EVERYTHING for You! (100% Automated) ,https://youtu.be/PwwvZQORy1I,Nick Puru,11000,12:55
5,MIT EI seminar- Hyung Won Chung from OpenAI. &quot;Don't teach. Incentivize.&quot; ,https://youtu.be/kYWUEV_e2ss,Hyung Won Chung,949 ,12:55
6,The ONLY Real Time Speech AI that can run locally!!! ,https://youtu.be/BAa5Rg83S0g,1littlecoder,862 ,3:01
7,HuggingFace Agents: Self-Correcting SQL Agent to Chat with SQL Database ,https://youtu.be/C81C1nurcEI,Hands-on AI ,167 ,3:01
8,Simple RAG for Newcomers - Easy Tutorial ,https://youtu.be/weiZ7MizjVc,Fahd Mirza,261 ,48:51
9,To CoT or not to CoT? Chain-of-thought helps mainly on math and symbolic reasoning ,https://youtu.be/Af9xXjb5vRw,Arxiv Papers,33 ,48:51
10,Finetuning Language Models to Emit Linguistic Expressions of Uncertainty ,https://youtu.be/yq6p-i2wXZw,Arxiv Papers,44 ,35:56
11,Accelerate FM pre-training on Amazon SageMaker HyperPod (Amazon EKS) | Amazon Web Services ,https://youtu.be/mYiZOYlpoO0,Amazon Web Services,320 ,35:56
12,Kurage - Multipurpose RAG Model - Install Locally ,https://youtu.be/_LAo59Tr8hI,Fahd Mirza,946 ,8:08
13,Full Fine tuning with Fewer GPUs - Galore- Optimizer Tricks- Adafactor ,https://youtu.be/i8_qL6y7CLg,Trelis Research,737 ,8:08
14,LMNT Python API - Next Level AI Text to Speech - Free Credits ,https://youtu.be/ehCT97pYOZc,Fahd Mirza,370 ,7:23
15,Q-Learning Tutorial 7: Adjust Hyperparameters to Unstuck MountainCarContinuous-v0 From Local Optima ,https://youtu.be/1Ms2UqRC8LA,Johnny Code,130 ,7:23
16,819: PyTorch: From Zero to Hero — with Luka Anicin ,https://youtu.be/EQcSmW2PbSs,Super Data Science: ML &amp; AI Podcast with Jon Krohn,561 ,13:39
17,Intro to Product Thinking: Building Human-Centric Tools • Flavia Naezer &amp; Julian Wood • GOTO 2024 ,https://youtu.be/iyUgBcYLHdA,GOTO Conferences,1600,13:39
18,What is The Best RAG Chunking Method?! ,https://youtu.be/Vmv7vCQ6JjY,MG,174 ,26:52
19,Who's MLOps for Anyway? // Jonathan Rioux // MLOps Podcast #261 ,https://youtu.be/HAIpMAZB_F4,MLOps.community,104 ,26:52
20,🔥 NEW LLama Embedding for Fast NLP💥 Llama-based Lightweight NLP Toolkit 💥 ,https://youtu.be/GF7wnswJF74,1littlecoder,2600,12:57
21,The scientist who coined retrieval augmented generation ,https://youtu.be/CMLCpZarQkE,Machine Learning Street Talk,6700,12:57
22,WordLlama - NLP and Word Embedding Model Optimized for CPU ,https://youtu.be/_gP5KylFHxE,Fahd Mirza,620 ,34:36
23,Strawberry Phi - Fine-Tune OpenAI's Model on Your Own Data Locally ,https://youtu.be/w6seFg0G63c,Fahd Mirza,600 ,34:36
24,LLMs Will Always Hallucinate- and We Need to Live With This ,https://youtu.be/1LbZZ3g57h0,Arxiv Papers,380 ,8:02
25,auto-regressive decoders &quot;think ahead&quot; with embedding diffusion ,https://youtu.be/z7d0_dLTtLw,Tunadorable,2400,8:02
26,Stop Using Lists of Stop Words for NLP! (Here are Superior Alternatives) ,https://youtu.be/6uxCIU7_9bA,Super Data Science: ML &amp; AI Podcast with Jon Krohn,108 ,1:03:42
27,AI Swarm Intelligence: Multi-Agent Ecosystem ,https://youtu.be/j3kGJk-JYu0,Discover AI,2500,1:03:42
28,The Best RAG Stack Components to date (fully open-source!) ,https://youtu.be/QyaMmSXxH2w,What's AI by Louis-François Bouchard,1700,9:49
29,Do You Even Need Fine-Tuning? ,https://youtu.be/MECsLD9loig,AI User Group,207 ,9:49
30,What no one is telling you about OpenAI O1 💥 OpenAI O1 Bombshell Pricing 💥 ,https://youtu.be/f4jRj4V4j2w,1littlecoder,8200,5:18
31,DataGemma RAG 27B - First Model to Challenge Hallucination - Install Locally ,https://youtu.be/6odLMxnUs5g,Fahd Mirza,778 ,5:18
32,PaperQA with LiteLLM and Ollama - SuperHuman RAG ,https://youtu.be/CDmHAxo-4CY,Fahd Mirza,909 ,1:04:50
33,Inference &amp; GPU Optimization: AWQ ,https://youtu.be/BEDHx_drhHQ,AI Makerspace,60 ,1:04:50
34,WINDOWS AGENT ARENA: Evaluating Multi-Modal OS Agents at Scale ,https://youtu.be/dVwhcER2rBQ,Arxiv Papers,251 ,31:56
35,LLaMA-Omni: Seamless Speech Interaction with Large Language Models ,https://youtu.be/u4kOaWY0KDs,Arxiv Papers,5800,31:56
36,Strawberry ,https://youtu.be/oQqOiwUhJkA,hu-po,73 ,11:11
37,Improve Your AI Prompting Skills: 4 Essential Tips for Success ,https://youtu.be/8YllEKPJYwk,Ryan &amp; Matt Data Science,4300,11:11
38,Stanford ECON295/CS323 I 2024 I AI and Democracy- Lawrence Lessig ,https://youtu.be/Qt0Nck1Gs7U,Stanford Online,563 ,1:10:15
39,Evaluating your RAG Chat App ,https://youtu.be/ObAoSIL8LCM,Microsoft Reactor,2000,1:10:15
40,NEW DataGemma-27B LLM Uncover the Truth: RIG + RAG ,https://youtu.be/LBreFhp1aEU,Discover AI,304 ,10:24
41,LLM-Modulo: Using Critics and Verifiers to Improve Grounding of a Plan - Explanation + Improvements ,https://youtu.be/_vZOIuV-nns,John Tan Chong Min,415 ,10:24
42,USearch - FAISS Alternative for RAG Vector Store ,https://youtu.be/ibAi2Owtafc,Fahd Mirza,445 ,1:13:47
43,How to Optimize and Deploy AI Models: Best Practices- Troubleshooting- and Security Considerations ,https://youtu.be/Tt_35YnQ9uk,Ultralytics,46 ,1:13:47
